Date,Day,Answer,Clue,Dir
02 Jan 18,Tue,Nightjar,Bird to make a grating noise after dark,A
02 Jan 18,Tue,Iris,One knight turns to the flag,A
02 Jan 18,Tue,Homer,Pigeon house near the top of the roof,A
02 Jan 18,Tue,Rapture,Put somehow into unusual ecstasy,A
02 Jan 18,Tue,Punters,Do they get a kick out of betting?,A
02 Jan 18,Tue,Treat,"Negotiate, as medical advisers do",A
02 Jan 18,Tue,Craftsmanship,The technique of the boatbuilder?,D
02 Jan 18,Tue,Upset,Aristocratic clique ill at ease,D
02 Jan 18,Tue,Sink,Drown in the Lakes in Killarney,D
02 Jan 18,Tue,Afloat,"On the surface, there's nothing to be seen in the apartment",D
02 Jan 18,Tue,Patience,Endurance needed when one plays this,D
02 Jan 18,Tue,Aerials,Structures exposed to radioactivity,D
02 Jan 18,Tue,Short and sweet,Descriptive of little honeyed drink,D
02 Jan 18,Tue,Scot-free,"Not penalised, as the result of secret arrangement",D
02 Jan 18,Tue,Regimen,System of administration is nearly all the colonel's responsibility,D
02 Jan 18,Tue,Padres,The clergy spread far and wide,D
02 Jan 18,Tue,Rouse,Stir up disagreements we hear,D
02 Jan 18,Tue,Spat,Once worn by father in the street,D
03 Jan 18,Wed,Filter,Use a percolator for making a trifle!,A
03 Jan 18,Wed,Orsino,One from another play appearing among the actors in 'Othello',A
03 Jan 18,Wed,Assurer,Sounds like a more certain underwriter,A
03 Jan 18,Wed,Gorse,"By the end of spring, hybrid rose is a prickly bush",A
03 Jan 18,Wed,Iced,Topped with a bit of nice decoration,A
03 Jan 18,Wed,Mends,Restores a fragment in the manuscript,A
03 Jan 18,Wed,Rowan,Right now a tree looks different,A
03 Jan 18,Wed,Air a grievance,What the dissatisfied broadcaster may do!,A
03 Jan 18,Wed,About,Concerning a pugilistic contest,A
03 Jan 18,Wed,Clipper,Trimmer vessel,A
03 Jan 18,Wed,String,One of four on the fiddle,A
03 Jan 18,Wed,Piston,Mechanical device for switching points,A
03 Jan 18,Wed,Plaster of Paris,"Gypsum appears, for list has been amended",D
03 Jan 18,Wed,Weird,I drew up outside - that's peculiar,D
03 Jan 18,Wed,Brigade,Body of troops may be going to a fire,D
03 Jan 18,Wed,Fibre,What's not true about material texture,D
03 Jan 18,Wed,Towel,It's drier in the bathroom,D
03 Jan 18,Wed,Routine,The usual way to go around at home,D
03 Jan 18,Wed,Dispute,Argue about being given a place in a poor side,D
03 Jan 18,Wed,Gas ring,Gossip circuit will generate some heat!,D
03 Jan 18,Wed,Balsa,Flimsy timber used for putting up a plinth,D
03 Jan 18,Wed,Moiré,Watered silk one gets in greater quantity,D
03 Jan 18,Wed,Rigid,The tackle I had is inflexible,D
04 Jan 18,Thu,Rake-off,Libertine going away with share of the profits,A
04 Jan 18,Thu,Broad,Wide secondary highway,A
04 Jan 18,Thu,Entry,Most of the men attempt to get admission,A
04 Jan 18,Thu,Tidings,New of the movements?,A
04 Jan 18,Thu,Third degree,Grilling for a triple graduate?,A
04 Jan 18,Thu,Break the law,"By assembling table, hawker may commit an offence",A
04 Jan 18,Thu,Compass,The scope of a direction-finding instrument,A
04 Jan 18,Thu,Tries,Scoring attempts,A
04 Jan 18,Thu,Legal,For example in all changes relating to the law,A
04 Jan 18,Thu,Royalty,Payment to the monarch's family,A
04 Jan 18,Thu,Taunt,Jibe from the relation he deserted,D
04 Jan 18,Thu,Search,Look for a Roman Catholic he's worked up about,D
04 Jan 18,Thu,Aft,12 ins. short at the back,D
04 Jan 18,Thu,Trying,Irksome job for the judge?,D
04 Jan 18,Thu,Laughed,Showed glee - had glue mixed,D
04 Jan 18,Thu,Fiddler,Dishonest violinist?,D
04 Jan 18,Thu,Protest,Demonstration from potter's organisation,D
04 Jan 18,Thu,Crooked,Décor OK but somewhat awry,D
04 Jan 18,Thu,Appears,"A poor paper, it would seem",D
04 Jan 18,Thu,Airman,"One with heights to reach, of course",D
04 Jan 18,Thu,Rests,Breaks in a score,D
04 Jan 18,Thu,Low,Not a high-pitched beastly noise,D
05 Jan 18,Fri,Duck,Get under a bouncer and get no runs,A
05 Jan 18,Fri,Startled,"Shocked, having been in front at the beginning",A
05 Jan 18,Fri,Seeking,Observe the rule looking,A
05 Jan 18,Fri,Again,A profit once more,A
05 Jan 18,Fri,Upright piano,Not a grand instrument!,A
05 Jan 18,Fri,Shower,One exhibiting some water,A
05 Jan 18,Fri,Agadir,Find a Moroccan port with an incomplete diagram somehow,A
05 Jan 18,Fri,Take to flight,Run away and get a liking for air travel,A
05 Jan 18,Fri,Amiss,A girl could be wrong,A
05 Jan 18,Fri,Caution,Warn about the auction,A
05 Jan 18,Fri,Kindness,The family that sends out of charity,A
05 Jan 18,Fri,Asps,They may bite as an afterthought,A
05 Jan 18,Fri,Disguise,I guess I'd change into camouflage,D
05 Jan 18,Fri,Clear,Find not guilty? That's obvious,D
05 Jan 18,Fri,Tights,Pantihose and shirt out of sight,D
05 Jan 18,Fri,Reading aloud,Speaking out concerning literature,D
05 Jan 18,Fri,Learned,A lender becoming erudite,D
05 Jan 18,Fri,Done,Finished some of the awkward ones?,D
05 Jan 18,Fri,Single person,Bachelor who doesn't buy LPs?,D
05 Jan 18,Fri,Pretends,Makes believe before nurses,D
05 Jan 18,Fri,Ovation,"Vain, too, about round of applause",D
05 Jan 18,Fri,Forces,Corfe's own armed services?,D
05 Jan 18,Fri,Grips,Wrestlers always get to them,D
05 Jan 18,Fri,Bark,What a dog may do around tree trunks?,D
06 Jan 18,Sat,Under canvas,Yachtsmen are living in tents,A
06 Jan 18,Sat,End,Complete backing in boldness,A
06 Jan 18,Sat,Staircase,Between landings the flight depends on this!,A
06 Jan 18,Sat,Local,All disturbed about the company returning in the neighbourhood,A
06 Jan 18,Sat,Grandee,Foreign noble shockingly enraged,A
06 Jan 18,Sat,Insure,Take cover at home without any doubt,A
06 Jan 18,Sat,Wagner,Risk a speculation about northern composer,A
06 Jan 18,Sat,Grimace,The expression of a hard-faced expert,A
06 Jan 18,Sat,Audit,A bit of a fraud - I tried to check the books,A
06 Jan 18,Sat,Realising,"One in the sale ring selling stock, maybe",A
06 Jan 18,Sat,Boo,Disapprove of incomplete printed work,A
06 Jan 18,Sat,Meaningless,Single names could be lacking significance,A
06 Jan 18,Sat,Nod,Indicate agreement for the fellow to return,D
06 Jan 18,Sat,Easel,Piece of school furniture gives comfort to the learner,D
06 Jan 18,Sat,Charge,The rate for current accumulation,D
06 Jan 18,Sat,Nirvana,"State of bliss, but Ivan ran amok",D
06 Jan 18,Sat,Abandoned,Profligate deserted,D
06 Jan 18,Sat,Bell ringers,Those responsible for ecclesiastical tolls,D
06 Jan 18,Sat,Penetration,Quality one needs to get through,D
06 Jan 18,Sat,Castigate,Stage act I criticise badly,D
06 Jan 18,Sat,Realign,"Give a new dressing to the back file, we hear",D
06 Jan 18,Sat,Design,Pattern composed of French symbol,D
06 Jan 18,Sat,Angel,Heaven-sent one may be seen beneath the arch,D
06 Jan 18,Sat,Bus,Public transport is almost bankrupt!,D
08 Jan 18,Mon,Spotter,One who identifies and records blemishes?,A
08 Jan 18,Mon,Shrewd,Astute termagant marries dunderhead,A
08 Jan 18,Mon,Strauss,Composer backing the arts on American ship,A
08 Jan 18,Mon,Revive,Always back about six to get renewed vigour,A
08 Jan 18,Mon,Orally,"In speech, indicated none attended mass meeting",A
08 Jan 18,Mon,Draw lots,Make a chance decision to be a prolific draughtsman?,A
08 Jan 18,Mon,Stamp out,Eliminate philatelic issue now on sale,A
08 Jan 18,Mon,In part,Not completely acting?,A
08 Jan 18,Mon,Victor,He can't lose!,A
08 Jan 18,Mon,Bewitch,Cast a spell to prove eligibility for coven?,A
08 Jan 18,Mon,Séance,A spirited performance?,A
08 Jan 18,Mon,Stagger,Astonish with alternating arrangement,A
08 Jan 18,Mon,Astride,A long step taken to be sitting side-saddle,D
08 Jan 18,Mon,Trivial,Unimportant test includes 4,D
08 Jan 18,Mon,Swivel,50 wives turn on a spin!,D
08 Jan 18,Mon,Put to sea,Set sail to get another US teapot,D
08 Jan 18,Mon,Tea bag,Beverage-maker has to get back holding a degree,D
08 Jan 18,Mon,Easily,"Lie, say, without difficulty",D
08 Jan 18,Mon,Obstacle,"Stole cab, but it proved to be a hindrance",D
08 Jan 18,Mon,Fortune,How the composer got a lot of money?,D
08 Jan 18,Mon,Starter,He instigates race movements,D
08 Jan 18,Mon,Unseat,"Remove MP. Auntie's not got one, unfortunately",D
08 Jan 18,Mon,Taking,"On the receiving end, thanks to sovereign",D
08 Jan 18,Mon,Mailed,"1000 were sick, and got posted",D
09 Jan 18,Tue,Rangefinders,What marksmen use for locating heights?,A
09 Jan 18,Tue,Banjo,It needs some pluck to proscribe Josephine!,A
09 Jan 18,Tue,Ire,Display of temper when father loses his head,A
09 Jan 18,Tue,Ghost town,"Paradoxically, a spiritless community",A
09 Jan 18,Tue,Godiva,Famous bareback rider,A
09 Jan 18,Tue,Rip off,Tearaway to indulge in exploitation,A
09 Jan 18,Tue,Ordinance,Authoritative decree for one in the artillery,A
09 Jan 18,Tue,Tag,Lightly touch on a quotation,A
09 Jan 18,Tue,Amati,Somehow I'm at a fine fiddle!,A
09 Jan 18,Tue,Reeve,Bailiff is removed from here eventually,A
09 Jan 18,Tue,Underwriters,Assistant scribes in the insurance world?,A
09 Jan 18,Tue,Running total,Count of all those at the starting blocks?,D
09 Jan 18,Tue,Ena,Some of the children adore her,D
09 Jan 18,Tue,Indoor,Where one enters a kind of game,D
09 Jan 18,Tue,Debit side,The part of the balance sheet that does you no credit!,D
09 Jan 18,Tue,Rondo,Get right on to perform a recurring musical theme,D
09 Jan 18,Tue,Round figures,Approximate golf scores?,D
09 Jan 18,Tue,Bread,Money required for food,D
09 Jan 18,Tue,Given time,Either sent to prison or allowed breathing-space,D
09 Jan 18,Tue,On the board,Where the bishop may be seen serving as a director,D
09 Jan 18,Tue,Andrew,Disciple to wander all over the place,D
09 Jan 18,Tue,Drawn,As tense as evenly contested matches are,D
09 Jan 18,Tue,Eli,One following the Spanish patriarch,D
10 Jan 18,Wed,Parish,Like a standard subdivision of a diocese?,A
10 Jan 18,Wed,Lathes,They are turned on at work,A
10 Jan 18,Wed,Richard Wagner,Chagrin warder shows about an operatic composer,A
10 Jan 18,Wed,Erratic,Unpredictable man taking in a rodent,A
10 Jan 18,Wed,Arrow,A right argument concerning old missile,A
10 Jan 18,Wed,Abase,Lower a foundation,A
10 Jan 18,Wed,Study,"Not dirty, but possibly dusty den",A
10 Jan 18,Wed,Their,Article about religious instruction belonging to them,A
10 Jan 18,Wed,Masseur,He may rub you up the wrong way,A
10 Jan 18,Wed,Make nothing of,Fail to understand in a nihilistic way?,A
10 Jan 18,Wed,Surrey,County possibly fringed by Oklahoma,A
10 Jan 18,Wed,Sentry,Small admission from a guard,A
10 Jan 18,Wed,Porter,Beer for the railway employee,D
10 Jan 18,Wed,Record-breaker,The biggest-ever wave?,D
10 Jan 18,Wed,Start,Begin to jump,D
10 Jan 18,Wed,Adamant,Very hard for a pop star,D
10 Jan 18,Wed,Hundredweight,Two tons could equal this,D
10 Jan 18,Wed,Straws,They may be drawn for drinkers,D
10 Jan 18,Wed,Edict,Possibly cited a proclamation,D
10 Jan 18,Wed,Strange,Weird old stove found on the street,D
10 Jan 18,Wed,Stamps,Shows annoyance at a philatelist's collection,D
10 Jan 18,Wed,Emits,Sends out various items,D
10 Jan 18,Wed,Crafty,Cunning but skilled?,D
10 Jan 18,Wed,Spire,Architectural features Piers designed,D
11 Jan 18,Thu,Familiarly,Usually a mendacious person in the kin group,A
11 Jan 18,Thu,Learn,Accumulate knowledge of renal disorder,A
11 Jan 18,Thu,Guarded,Cautious when in custody,A
11 Jan 18,Thu,Inequity,The unfairness of being a union member,A
11 Jan 18,Thu,Bets,They are usually at odds,A
11 Jan 18,Thu,Easels,Leases out artist's stands,A
11 Jan 18,Thu,Pursue,Chase money bag containing a letter,A
11 Jan 18,Thu,Arab,Man in a charabanc?,A
11 Jan 18,Thu,Hallowed,Holy letter permitted,A
11 Jan 18,Thu,Exhaust,Car part likely to wear out?,A
11 Jan 18,Thu,Train,Coach the coaches?,A
11 Jan 18,Thu,Presidents,The people living at Peterhead are top people,A
11 Jan 18,Thu,Frame,Part of the film of a game of snooker,D
11 Jan 18,Thu,Manfully,How a large meal is eaten by a male?,D
11 Jan 18,Thu,Legate,Envoy at the French entrance,D
11 Jan 18,Thu,Ajar,Partly open a container,D
11 Jan 18,Thu,Ladders,Runs to get some of the decorating equipment,D
11 Jan 18,Thu,Illiterate,"I will repeat, being unable to read and write",D
11 Jan 18,Thu,Descending,Taking a flight in a certain direction,D
11 Jan 18,Thu,Bulletin,Report of loaded gun?,D
11 Jan 18,Thu,Smasher,Good-looking girl you may break up with,D
11 Jan 18,Thu,Waited,Deferred action but served the food,D
11 Jan 18,Thu,Wears,"Sports merchandise, say",D
11 Jan 18,Thu,Buns,Insult over tea cakes,D
12 Jan 18,Fri,Sloe gin,It sounds unsuitable for a quick drink,A
12 Jan 18,Fri,Delay,Deferment of French song,A
12 Jan 18,Fri,Rye,There's grain in every ear,A
12 Jan 18,Fri,Flare path,Means of providing a light landing?,A
12 Jan 18,Fri,Postmasters,Teachers after a job are men of letters,A
12 Jan 18,Fri,Infirmities,In the business one restricts weaknesses,A
12 Jan 18,Fri,Medallist,Recipient of honour still made mistake!,A
12 Jan 18,Fri,Due,Tax should be paid now,A
12 Jan 18,Fri,Story,Account by southern politician,A
12 Jan 18,Fri,Hovered,Was still in the air,A
12 Jan 18,Fri,Plays truant,Stays out of form,D
12 Jan 18,Fri,Bespatter,To sprinkle water round the hydro is more satisfactory,D
12 Jan 18,Fri,Pasture,A street encroaching into unspoilt farmland,D
12 Jan 18,Fri,Solitaire,It's played by one stone placed in a ring,D
12 Jan 18,Fri,Temple,Part of a capital place for worship,D
12 Jan 18,Fri,Intents,Aims to show where the campers are,D
12 Jan 18,Fri,Quiet,Leave about the end of June for some peace,D
12 Jan 18,Fri,Showbill,Draw William's attention to theatre advertisement,D
12 Jan 18,Fri,Seamen,The crew noticed around before noon,D
13 Jan 18,Sat,Without reason,Lacking cause through mindlessness?,A
13 Jan 18,Sat,Freehand,"Without mechanical aids, let worker go?",A
13 Jan 18,Sat,Bent,An inclination towards being dishonest?,A
13 Jan 18,Sat,Abused,Sailor was formerly attacked with insults,A
13 Jan 18,Sat,Emends,Makes corrections to letter conclusions,A
13 Jan 18,Sat,Odious,Tuneful? Neither me nor the learner - how hateful!,A
13 Jan 18,Sat,Turkey,Bird for the country table?,A
13 Jan 18,Sat,Flat,Home which has lost its sparkle,A
13 Jan 18,Sat,Open goal,Go pale on creating chance to score?,A
13 Jan 18,Sat,Strong grounds,Firm basis for believing coffee residue is potent?,A
13 Jan 18,Sat,Disrobed,Got undressed as brides do in a way,D
13 Jan 18,Sat,Threes,There's sadly no more than two in the 3.30,D
13 Jan 18,Sat,Tuna,Fish picks up what was in a shell,D
13 Jan 18,Sat,Gradient,Treading around a slope,D
13 Jan 18,Sat,Gamble,Bet on doctor getting there in a strong wind?,D
13 Jan 18,Sat,Go on,Continue to be a stupid person,D
13 Jan 18,Sat,Disgorge,So rigged as to discharge,D
13 Jan 18,Sat,Diehards,String conservatives had rides out,D
13 Jan 18,Sat,Option,"Choice of pin, too",D
13 Jan 18,Sat,Ragout,Bit of cloth removed from stew,D
13 Jan 18,Sat,Lath,Turning machine cut short strip of wood,D
13 Jan 18,Sat,Earn,Fear nought: it's fought out to get a return,D
15 Jan 18,Mon,Card player,His success lies in good hands,A
15 Jan 18,Mon,Instance,"How one golfer differs from another, for example",A
15 Jan 18,Mon,Duck,"Keep your head down, darling",A
15 Jan 18,Mon,Fences,Rails and hedges!,A
15 Jan 18,Mon,Fiends,Diabolical types one wards off all round,A
15 Jan 18,Mon,Grouse,Complain it's a target for the guns,A
15 Jan 18,Mon,Step dancer,Capers tend to be varied by this choreographic exponent,A
15 Jan 18,Mon,Reaction,Retrogressive tendency about a lawsuit,A
15 Jan 18,Mon,Overstates,Exaggerates the position of American governors,A
15 Jan 18,Mon,Tideless,Having no current variation,A
15 Jan 18,Mon,Evangelist,Tales given a new slant by the gospeller,D
15 Jan 18,Mon,Scut,Top of a scalpel to chop off a tail,D
15 Jan 18,Mon,Cranks,Handles eccentric types,D
15 Jan 18,Mon,Spread,A good meal arranged for the padres,D
15 Jan 18,Mon,Fandango,Dance introduced into the Gulf and Angola,D
15 Jan 18,Mon,Trek,The leading characters of tour round East Kenya,D
15 Jan 18,Mon,Chessboard,The basis of the mating game,D
15 Jan 18,Mon,Conspire,Make a joint plan to study part of the church,D
15 Jan 18,Mon,Sprite,Redhead engrossed in malice is a mischievous type,D
15 Jan 18,Mon,Grafts,Gets busy with the stock and indulges in corrupt practices,D
15 Jan 18,Mon,Spot,Place where the Spinners turn up,D
15 Jan 18,Mon,Test,Do some assaying in the States Treasury,D
16 Jan 18,Tue,Arena,A very long time returning to the stadium,A
16 Jan 18,Tue,Bear out,Confirm that the wild animal has escaped,A
16 Jan 18,Tue,Drachma,The old Greek capital?,A
16 Jan 18,Tue,Order,Command of the brotherhood,A
16 Jan 18,Tue,Never again,Always a loss not to be repeated,A
16 Jan 18,Tue,Variegated,"Not all one colour, but it averaged out",A
16 Jan 18,Tue,Realm,Kingdom of Lear possibly mentioned at the start of Macbeth,A
16 Jan 18,Tue,Effects,The consequences of having possessions,A
16 Jan 18,Tue,Retired,"Went to bed, having stopped work",A
16 Jan 18,Tue,Curse,Swear nothing left the racetrack,A
16 Jan 18,Tue,Maiden over,No runs came when the girl fell,D
16 Jan 18,Tue,Debar,Exclude the making of bread,D
16 Jan 18,Tue,Cash,Money a country singer makes,D
16 Jan 18,Tue,Ablaze,Flaming sailor has to be idle,D
16 Jan 18,Tue,Baronage,Age restriction for the nobleman,D
16 Jan 18,Tue,Cordial,Friendly drink,D
16 Jan 18,Tue,Ringmaster,Telephone teacher employed in the circus,D
16 Jan 18,Tue,Evermore,Eternally increasing?,D
16 Jan 18,Tue,Breadth,Not the drab dimension,D
16 Jan 18,Tue,Amends,Restitution finishes in the morning,D
16 Jan 18,Tue,Score,Sheet music costing £20,D
16 Jan 18,Tue,Face,The front of a renovated café,D
17 Jan 18,Wed,Spaghetti,"Dish made, though eight taps running out",A
17 Jan 18,Wed,One,Unity among honest people,A
17 Jan 18,Wed,Sleepwalker,Dreamy pedestrian?,A
17 Jan 18,Wed,Residue,Unusual rise owing to what is left over,A
17 Jan 18,Wed,Owner,Some backward children wonder if he has title,A
17 Jan 18,Wed,Ingest,Gin set out to take into the body,A
17 Jan 18,Wed,Mental,Let man become disturbed in mind,A
17 Jan 18,Wed,Error,It's a mistake to lose head in great fear,A
17 Jan 18,Wed,Infancy,Imagined early childhood,A
17 Jan 18,Wed,At the cinema,Tate machine where films are watched,A
17 Jan 18,Wed,Ton,Weight directed northwards,A
17 Jan 18,Wed,Hold hands,Detain workers as lovers may do?,A
17 Jan 18,Wed,Pal,Initially posed as lifelong friend,D
17 Jan 18,Wed,Hoped,Expected he had seen about work,D
17 Jan 18,Wed,Trader,Merchant put up Communist paintings,D
17 Jan 18,Wed,Irksome,Trying awful risk is nothing to yours truly,D
17 Jan 18,Wed,For instance,E.g. nine factors possibly,D
17 Jan 18,Wed,Severally,Always in trip out as individuals,D
17 Jan 18,Wed,East Germany,"Former country of great men, say",D
17 Jan 18,Wed,Reiterate,"Repeat ""Treat Eire differently""",D
17 Jan 18,Wed,Stretch,Extend a gaol sentence?,D
17 Jan 18,Wed,Lineal,Leaders living in nearly every area lead by direct descent,D
17 Jan 18,Wed,Faith,She should be true to her promises!,D
17 Jan 18,Wed,Mad,Crazy scheme to erect water barrier,D
18 Jan 18,Thu,Emulate,Attempt to equal a dead bird,A
18 Jan 18,Thu,Baton,Continue to play cricket with a stick,A
18 Jan 18,Thu,Clive,He may go on living to 100,A
18 Jan 18,Thu,Spirits,What a medium drinks?,A
18 Jan 18,Thu,Prosecution,Getting wrong corpse out in court action,A
18 Jan 18,Thu,Complicated,Involved having gone along with an animal inside,A
18 Jan 18,Thu,Strains,Tries hard to write melodies,A
18 Jan 18,Thu,Gears,You have to change out of them in your car,A
18 Jan 18,Thu,Onset,Beginning  to rewrite notes,A
18 Jan 18,Thu,Lending,Making a loan of a pound at the finish,A
18 Jan 18,Thu,Smile,Show amusement when miles out,D
18 Jan 18,Thu,Clover,Plant left inside the lid,D
18 Jan 18,Thu,Ate,Some plates of food consumed,D
18 Jan 18,Thu,Parrot,Standard rubbish from a bird,D
18 Jan 18,Thu,Pontoon,A game like bridge?,D
18 Jan 18,Thu,Special,Place is arranged for part-time policemen,D
18 Jan 18,Thu,Assigns,Appoints idiot to sing out,D
18 Jan 18,Thu,Content,Satisfied with what is inside,D
18 Jan 18,Thu,Player,A sportsman such as Gary?,D
18 Jan 18,Thu,Emends,Corrects like journalists taking people in,D
18 Jan 18,Thu,Drink,Doctor taking writing fluid as refreshment,D
18 Jan 18,Thu,Met,Encountered force,D
19 Jan 18,Fri,Mole,Distinctive mark of an infiltrator,A
19 Jan 18,Fri,Appalled,Took off the burial shroud inside - overcome with dismay,A
19 Jan 18,Fri,Reviews,What critics write about errant wives,A
19 Jan 18,Fri,Bonus,Extra payment for getting on public transport outside,A
19 Jan 18,Fri,Overlordship,The status of one in charge of a vessel in Normandy invasion?,A
19 Jan 18,Fri,Earthy,Describing the land the ray destroyed,A
19 Jan 18,Fri,Tangle,Interwoven mass of oarweed,A
19 Jan 18,Fri,Cheerleaders,They're in charge of  vocal support,A
19 Jan 18,Fri,Pluto,Submarine pipeline for underworld boss,A
19 Jan 18,Fri,Open air,Candid manner out of doors,A
19 Jan 18,Fri,Eventide,Uniform ebb and flow at dusk,A
19 Jan 18,Fri,Stud,Seven disturbed the horses,A
19 Jan 18,Fri,Moreover,Besides a larger quantity not used,D
19 Jan 18,Fri,Levee,Embankment is just right for early reception,D
19 Jan 18,Fri,Pastry,Father's to taste the pie crust,D
19 Jan 18,Fri,As busy as a bee,No drone could be so described,D
19 Jan 18,Fri,Linking,Joining nothing up with a ruler,D
19 Jan 18,Fri,Dust,This makes a film that needs cleaning up,D
19 Jan 18,Fri,Health resort,Hotels rather transform the look of the spa,D
19 Jan 18,Fri,Measured,Discovered the amount of certain ingredient in honey drink,D
19 Jan 18,Fri,Rehouse,"Ring us in here, maybe, to provide new accommodation",D
19 Jan 18,Fri,Almond,This kernel has upset the old man,D
19 Jan 18,Fri,Exact,Precise contribution to reflex actions,D
19 Jan 18,Fri,Apse,Some of the cheap seats found in the church choir,D
20 Jan 18,Sat,Double sharp,It raises whole tone very quickly,A
20 Jan 18,Sat,Red,The colour of fire doors,A
20 Jan 18,Sat,Relevance,Clear even in bearing on the matter,A
20 Jan 18,Sat,Cased,"In with a tonic, a sedative is put in a box",A
20 Jan 18,Sat,Surface,Water sport star is on top,A
20 Jan 18,Sat,Lyrics,Cyril's composer of words of songs,A
20 Jan 18,Sat,Adhere,Stick to a half load in this place,A
20 Jan 18,Sat,Poverty,"Being poor, making top very unlikely",A
20 Jan 18,Sat,Below,Feel depressed underneath,A
20 Jan 18,Sat,All in vain,Put villa in an awful state to no avail,A
20 Jan 18,Sat,Cut,Stop the cameras as an economy?,A
20 Jan 18,Sat,Spirit level,Instrument for measuring the liquor content,A
20 Jan 18,Sat,Odd,Strange circle joined by theologian,D
20 Jan 18,Sat,Bored,"Was drilled, but found it very dull",D
20 Jan 18,Sat,Enlist,Join up in silent revolution,D
20 Jan 18,Sat,Hovered,"Hung in the air, being undecided",D
20 Jan 18,Sat,Ring a bell,Give a tinkle to strike a sympathetic note,D
20 Jan 18,Sat,Prickly pear,Fruit making sound couple ready to take umbrage?,D
20 Jan 18,Sat,Get even with,Make equal in revenge?,D
20 Jan 18,Sat,Shrivel up,Make virus help to wither,D
20 Jan 18,Sat,Coroner,There's nothing in turning to conductor at inquest,D
20 Jan 18,Sat,Tyrant,Oppressive ruler in the party ran the election,D
20 Jan 18,Sat,Binge,Drinking bout in pub in Germany,D
20 Jan 18,Sat,Cue,A tip for the snooker player,D
22 Jan 18,Mon,Operate,Work in the theatre?,A
22 Jan 18,Mon,Ambled,Moved slowly and lost blood after the morning,A
22 Jan 18,Mon,Teeming,Pouring out of a meeting,A
22 Jan 18,Mon,Tailed,Followed with an appendage?,A
22 Jan 18,Mon,Lesson,A smaller amount concerning the class,A
22 Jan 18,Mon,Regulate,Get a rule out for control,A
22 Jan 18,Mon,Insomnia,One may get tired of it,A
22 Jan 18,Mon,Inform,Grass in the class,A
22 Jan 18,Mon,Newton,Novel measure of weight from the famous scientist,A
22 Jan 18,Mon,Planets,Aircraft on the way back to Venus and Mars,A
22 Jan 18,Mon,Carafe,A bottle for the artist in the eating place,A
22 Jan 18,Mon,Preside,Take the chair before eleven,A
22 Jan 18,Mon,Battery,Possibly charged for a supply of electricity,D
22 Jan 18,Mon,Abridge,Shorten a card game,D
22 Jan 18,Mon,Cereal,"Breakfast dish in parts, say",D
22 Jan 18,Mon,Peerless,"Without equal, commonly?",D
22 Jan 18,Mon,Remiss,Negligent concerning a girl,D
22 Jan 18,Mon,Tendon,Continue to nurse a sinew,D
22 Jan 18,Mon,Animated,Enlivened with diamante creation,D
22 Jan 18,Mon,Initial,Sign the first letter,D
22 Jan 18,Mon,Painter,Possibly pertain to an artist,D
